trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
d,1,6.888999939,1,0,100,3,1,99,i2_50_R.jpg,d,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,6.611999989,1,0,100,36,1,99,i17_50.jpg,s,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,6.665999889,1,0,100,86,1,99,i39_150.jpg,s,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,0,5.21600008,1,0,100,77,1,99,i35_150.jpg,s,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,4.359999895,1,0,100,51,1,99,i24_50.jpg,s,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,13.81900001,1,0,100,71,1,99,i33_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,5.479000092,1,0,100,65,1,99,i30_50.jpg,s,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,5.748000145,1,0,100,62,1,99,i29_0.jpg,s,0,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,6.538000107,1,0,100,60,1,99,i28_50.jpg,s,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,6.813999891,1,0,100,4,1,99,i2_100.jpg,s,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,4.704999924,1,0,100,85,1,99,i39_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,8.658000231,1,0,100,87,1,99,i40_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,13.454,1,0,100,52,1,99,i24_150_R.jpg,d,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,2.46600008,1,0,100,27,1,99,i13_50_R.jpg,d,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,0,7.097999811,1,0,100,79,1,99,i36_150.jpg,s,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,5.787999868,1,0,100,83,1,99,i38_150.jpg,s,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,0,12.52200007,1,0,100,24,1,99,i11_100.jpg,s,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,13.69799995,1,0,100,96,1,99,i45_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,3.375999928,1,0,100,47,1,99,i22_50.jpg,s,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,13.04500008,1,0,100,8,1,99,i4_100.jpg,s,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,12.03700018,1,0,100,67,1,99,i31_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,8.878999949,1,0,100,66,1,99,i30_150.jpg,s,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,5.459000111,1,0,100,90,1,99,i41_150.jpg,s,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,10.1170001,1,0,100,23,1,99,i11_50_R.jpg,d,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,11.00900006,1,0,100,10,1,99,i5_50_R.jpg,d,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,15.15699983,1,0,100,59,1,99,i27_150_R.jpg,d,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,1.599999905,1,0,100,38,1,99,i18_50.jpg,s,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,7.24000001,1,0,100,11,1,99,i5_100.jpg,s,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,7.519999981,1,0,100,35,1,99,i16_150_R.jpg,d,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,11.39499998,1,0,100,32,1,99,i15_50_R.jpg,d,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,2.967999935,1,0,100,20,1,99,i9_100.jpg,s,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,13.04199982,1,0,100,44,1,99,i20_150_R.jpg,d,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,2.505999804,1,0,100,97,1,99,i46_100.jpg,s,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,6.836000204,1,0,100,84,1,99,i39_0.jpg,s,0,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,7.608999968,1,0,100,13,1,99,i6_100.jpg,s,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,6.847999811,1,0,100,93,1,99,i43_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,0,8.496999979,1,0,100,89,1,99,i41_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,0,2.970999956,1,0,100,91,1,99,i42_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,0,1.886000156,1,0,100,95,1,99,i44_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,2.949999809,1,0,100,98,1,99,i47_100.jpg,s,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,1.275000095,1,0,100,75,1,99,i35_0.jpg,s,0,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,16.99199986,1,0,100,78,1,99,i36_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,0,8.024999857,1,0,100,50,1,99,i23_150_R.jpg,d,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,1.078999996,1,0,100,29,1,99,i14_0.jpg,s,0,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,8.809999943,1,0,100,76,1,99,i35_100_R.jpg,d,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,8.739000082,1,0,100,43,1,99,i20_50.jpg,s,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,1.861000061,1,0,100,58,1,99,i27_50.jpg,s,50,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
d,1,4.700999975,1,0,100,31,1,99,i14_150_R.jpg,d,150,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
s,1,2.530999899,1,0,100,2,1,99,i1_100.jpg,s,100,3134,001,2020-10-13_11h01.59.961,MentalRotationFinal,3.1.2,60
