trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,0,13.66100001,1,0,100,76,1,99,i35_100_R.jpg,d,100,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,1,2.740999937,1,0,100,75,1,99,i35_0.jpg,s,0,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,0,5.068000078,1,0,100,5,1,99,i3_50_R.jpg,d,50,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,1,3.169999838,1,0,100,14,1,99,i7_50_R.jpg,d,50,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,1,14.28199983,1,0,100,95,1,99,i44_100_R.jpg,d,100,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,0,2.588000059,1,0,100,50,1,99,i23_150_R.jpg,d,150,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,1,3.618999958,1,0,100,93,1,99,i43_100_R.jpg,d,100,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,0,3.072999954,1,0,100,74,1,99,i34_150.jpg,s,150,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,0,2.328000069,1,0,100,92,1,99,i42_150.jpg,s,150,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,1,1.960000038,1,0,100,39,1,99,i18_150_R.jpg,d,150,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,0,1.928999901,1,0,100,7,1,99,i4_50_R.jpg,d,50,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,0,1.281000137,1,0,100,66,1,99,i30_150.jpg,s,150,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,1,0.980999947,1,0,100,13,1,99,i6_100.jpg,s,100,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,1,1.096999884,1,0,100,71,1,99,i33_100_R.jpg,d,100,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,0,1.114000082,1,0,100,88,1,99,i40_150.jpg,s,150,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,1,0.893000126,1,0,100,24,1,99,i11_100.jpg,s,100,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,1,0.930999994,1,0,100,19,1,99,i9_50_R.jpg,d,50,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,0,0.848999977,1,0,100,77,1,99,i35_150.jpg,s,150,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,1,0.857000113,1,0,100,47,1,99,i22_50.jpg,s,50,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,0,0.799000025,1,0,100,86,1,99,i39_150.jpg,s,150,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,0,0.832999945,1,0,100,3,1,99,i2_50_R.jpg,d,50,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,1,0.799999952,1,0,100,32,1,99,i15_50_R.jpg,d,50,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,0,1.227999926,1,0,100,54,1,99,i25_50.jpg,s,50,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,1,0.940000057,1,0,100,8,1,99,i4_100.jpg,s,100,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,0,1.297999859,1,0,100,30,1,99,i14_50_R.jpg,d,50,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,0,1.961000204,1,0,100,61,1,99,i28_150.jpg,s,150,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,1,2.691999912,1,0,100,96,1,99,i45_100_R.jpg,d,100,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,1,1.762000084,1,0,100,51,1,99,i24_50.jpg,s,50,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
d,1,1.707000017,1,0,100,46,1,99,i21_150_R.jpg,d,150,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
s,0,1.673999786,1,0,100,78,1,99,i36_100_R.jpg,d,100,AEB98,001,2020-12-20_10h25.30.885,MentalRotationFinal,3.1.2,60
