trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,1,4,1,0,100,20,1,99,i9_100.jpg,s,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
d,1,2.222000122,1,0,100,96,1,99,i45_100_R.jpg,d,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,1,1.701999903,1,0,100,22,1,99,i10_100.jpg,s,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,1,1.243000031,1,0,100,41,1,99,i19_50.jpg,s,50,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
d,1,1.756999969,1,0,100,95,1,99,i44_100_R.jpg,d,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
d,0,1.707000017,1,0,100,6,1,99,i3_100.jpg,s,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,1,1.303999901,1,0,100,49,1,99,i23_50.jpg,s,50,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
d,1,2.499000072,1,0,100,33,1,99,i15_150_R.jpg,d,150,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,1,2.204999924,1,0,100,98,1,99,i47_100.jpg,s,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
d,1,2.039000034,1,0,100,48,1,99,i22_150_R.jpg,d,150,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,1,1.924999952,1,0,100,79,1,99,i36_150.jpg,s,150,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,1,1.988000154,1,0,100,13,1,99,i6_100.jpg,s,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,1,1.086999893,1,0,100,18,1,99,i9_0.jpg,s,0,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,1,3.046999931,1,0,100,61,1,99,i28_150.jpg,s,150,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
d,1,2.124000072,1,0,100,67,1,99,i31_100_R.jpg,d,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,0,3.638000011,1,0,100,59,1,99,i27_150_R.jpg,d,150,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
d,1,1.657999992,1,0,100,16,1,99,i8_50_R.jpg,d,50,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
d,1,3.686000109,1,0,100,76,1,99,i35_100_R.jpg,d,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,0,2.746999979,1,0,100,25,1,99,i12_50_R.jpg,d,50,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
s,1,3.934999943,1,0,100,83,1,99,i38_150.jpg,s,150,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
d,1,6.200999975,1,0,100,78,1,99,i36_100_R.jpg,d,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
d,1,0.945000172,1,0,100,73,1,99,i34_100_R.jpg,d,100,PP,001,2020-11-30_10h30.45.240,MentalRotationFinal,3.1.2,60
