trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
s,0,6.797999859,1,0,100,31,1,99,i14_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.496999979,1,0,100,16,1,99,i8_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.402999878,1,0,100,26,1,99,i12_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.386000156,1,0,100,64,1,99,i29_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,6.621999979,1,0,100,46,1,99,i21_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,6.055000067,1,0,100,23,1,99,i11_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,3.019999981,1,0,100,30,1,99,i14_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,6.186000109,1,0,100,3,1,99,i2_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.003000021,1,0,100,4,1,99,i2_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,6.338999987,1,0,100,22,1,99,i10_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,0,6.153000116,1,0,100,59,1,99,i27_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,10.37000012,1,0,100,74,1,99,i34_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.350999832,1,0,100,58,1,99,i27_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,6.585999966,1,0,100,54,1,99,i25_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,4.15199995,1,0,100,39,1,99,i18_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,2.585999966,1,0,100,18,1,99,i9_0.jpg,s,0,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,6.436999798,1,0,100,79,1,99,i36_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.701999903,1,0,100,24,1,99,i11_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1.305000067,1,0,100,62,1,99,i29_0.jpg,s,0,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,16.57200003,1,0,100,11,1,99,i5_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.08100009,1,0,100,27,1,99,i13_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,1.267999887,1,0,100,32,1,99,i15_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,4.335999966,1,0,100,51,1,99,i24_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,5.233999968,1,0,100,6,1,99,i3_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,5.302999973,1,0,100,99,1,99,i48_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,4.921000004,1,0,100,98,1,99,i47_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.934999943,1,0,100,93,1,99,i43_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,4.669000149,1,0,100,92,1,99,i42_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,1.419000149,1,0,100,48,1,99,i22_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,6.631999969,1,0,100,8,1,99,i4_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,5.164000034,1,0,100,44,1,99,i20_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,4.486000061,1,0,100,17,1,99,i8_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,7.868000031,1,0,100,68,1,99,i31_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,2.200999975,1,0,100,56,1,99,i26_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,2.93599987,1,0,100,60,1,99,i28_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,2.984999895,1,0,100,75,1,99,i35_0.jpg,s,0,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,2.18599987,1,0,100,9,1,99,i5_0.jpg,s,0,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,7.184999943,1,0,100,87,1,99,i40_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,4.90199995,1,0,100,66,1,99,i30_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,4.681999922,1,0,100,28,1,99,i13_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,3.264999866,1,0,100,82,1,99,i38_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.103000164,1,0,100,96,1,99,i45_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,4.61500001,1,0,100,15,1,99,i7_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1.052000046,1,0,100,40,1,99,i19_0.jpg,s,0,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1,1,0,100,84,1,99,i39_0.jpg,s,0,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.835999966,1,0,100,1,1,99,i1_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1.119999886,1,0,100,94,1,99,i44_0.jpg,s,0,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.75,1,0,100,70,1,99,i32_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,13.81999993,1,0,100,76,1,99,i35_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.151000023,1,0,100,33,1,99,i15_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,4.90199995,1,0,100,55,1,99,i25_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,4.571000099,1,0,100,90,1,99,i41_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.835999966,1,0,100,36,1,99,i17_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1.101999998,1,0,100,29,1,99,i14_0.jpg,s,0,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.152999878,1,0,100,25,1,99,i12_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,2.698999882,1,0,100,63,1,99,i29_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1.252000093,1,0,100,43,1,99,i20_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,6.572999954,1,0,100,5,1,99,i3_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.597000122,1,0,100,85,1,99,i39_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,6.103999853,1,0,100,19,1,99,i9_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,3.333000183,1,0,100,71,1,99,i33_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.332000017,1,0,100,65,1,99,i30_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,2.585000038,1,0,100,38,1,99,i18_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.549000025,1,0,100,7,1,99,i4_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,1.786000013,1,0,100,80,1,99,i37_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,3.550000191,1,0,100,21,1,99,i10_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.753999949,1,0,100,20,1,99,i9_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,10.03600001,1,0,100,67,1,99,i31_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,4.534000158,1,0,100,97,1,99,i46_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1.752000093,1,0,100,47,1,99,i22_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,3.319000006,1,0,100,14,1,99,i7_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,4.351999998,1,0,100,91,1,99,i42_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1.769000053,1,0,100,53,1,99,i25_0.jpg,s,0,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.519999981,1,0,100,61,1,99,i28_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.070000172,1,0,100,50,1,99,i23_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,5.402999878,1,0,100,83,1,99,i38_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,4.519999981,1,0,100,35,1,99,i16_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,4.252000093,1,0,100,72,1,99,i33_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,1.419000149,1,0,100,69,1,99,i32_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,11.58700013,1,0,100,88,1,99,i40_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1.352999926,1,0,100,0,1,99,i1_0.jpg,s,0,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,1.704999924,1,0,100,12,1,99,i6_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,0,4.570000172,1,0,100,77,1,99,i35_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,3.585000038,1,0,100,95,1,99,i44_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.238000154,1,0,100,86,1,99,i39_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,0,4.330999851,1,0,100,13,1,99,i6_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,0,4.585999966,1,0,100,42,1,99,i19_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.219000101,1,0,100,2,1,99,i1_100.jpg,s,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,2.63499999,1,0,100,49,1,99,i23_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,3.003999949,1,0,100,57,1,99,i26_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,5.148000002,1,0,100,78,1,99,i36_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1.702000141,1,0,100,34,1,99,i16_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.286000013,1,0,100,73,1,99,i34_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,0,3.019000053,1,0,100,10,1,99,i5_50_R.jpg,d,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,3.368000031,1,0,100,52,1,99,i24_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,3.113999844,1,0,100,37,1,99,i17_150_R.jpg,d,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,3.035000086,1,0,100,81,1,99,i37_150.jpg,s,150,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,2.433000088,1,0,100,45,1,99,i21_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
d,1,2.569000006,1,0,100,89,1,99,i41_100_R.jpg,d,100,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
s,1,1.919000149,1,0,100,41,1,99,i19_50.jpg,s,50,aah569,001,2020-04-15_19h46.37.501,MentalRotationFinal,3.1.2,60
